id;news_Id;text
1;1;Liga Prancis akhirnya memutuskan Paris Saint-Germain sebagai juara musim ini. Sementara itu Lorient dipastikan promosi musim depan.
2;1;"Keputusan itu dikeluarkan Asosiasi Sepakbola Profesional Prancis (LFP) usai mengadakan rapat dengan seluruh tim peserta Ligue 1 dan Ligue 2, Kamis (30/3/2020) malam WIB. Ini jadi gelar juara liga ketiga beruntun PSG sejak 2018."
3;1;"Kami sudah memutuskan untuk menghentikan musim 2019/2020. PSG juara Ligue 1, sementara Lorient juara Ligue 2, ujar Presiden LFP, Nathalie Boy de la Tour, seperti dikutip ESPN."
4;1;Baca juga: PSG Diputuskan sebagai Juara Liga Prancis 2019/2020?
5;1;Kompetisi Liga Prancis dihentikan karena Pemerintah Prancis baru saja melarang kegiatan yang mengundang keramaian sampai 1 September. Awalnya Ligue 1 masih ingin melanjutkan kompetisi setelah ditangguhkan karena pandemi virus corona.
6;1;"Sebelum liga disetop, PSG ada di posisi pertama klasemen dengan keunggulan 12 poin atas Marseille dengan 10 laga tersisa dan menyimpan satu laga. Marseille sebagai runner-up otomatis lolos ke Liga Champions sementara Rennes di peringkat ketiga mengikuti playoff."
7;1;"Dua peringkat terbawa Toulouse dan Amiens terdegradasi, digantikan juara Ligue 2 Lorient dan Lens jadi runner-up. Tidak ada play-off promosi-degradasi antara tim peringkat ke-18 dan peringkat ketiga Ligue 2 kali ini."
8;2;Bintang muda Erling Braut Haaland tampil sensasional di musim ini. Haaland disebut bahwa dia ditakdirkan bermain di Real Madrid di masa depan.
9;2;"Meski baru berusia 19 tahun, Haaland menarik perhatian klub-klub top Eropa dengan penampilannya di sepanjang 2019/20. Sudah 40 gol dibuat penyerang Norwegia itu untuk RB Salzburg dan Borussia Dortmund."
10;2;Baca juga: Haaland: Dortmund Beruntung Punya Sancho
11;2;"Meski belum genap setengah musim berseragam Dortmund, Haaland sudah dikaitkan dengan kepindahan di bursa musim panas. Manchester United dan Real Madrid menjadi dua klub yang paling tertarik mendapatkan tanda tangannya."
12;2;"Mantan striker Dortmund Stanislav Macek mendukung Haaland segera angkat kaki dari Signal Iduna Park. Menurut Macek, Haaland sudah seharusnya bermain di klub sebesar Real Madrid."
13;2;"Dia adalah [Zlatan] Ibrahimovic modern, Macek mengatakan kepada AS. ""Saya akan bilang dia sekarang jauh lebih baik dalam pergerakannya, lebih cepat. Dia punya sebuah mentalitas dalam bagaimana menghadapi banyak pertandingan dan profesinya."""
14;2;Baca juga: Pesan Bale untuk Suporter Madrid yang Suka Soraki Pemain
15;2;"Saya pikir dia harus membuat satu langkah besar. Dia itu salah satu yang terbaik di Jerman. Kalau dia terus meningkat seperti ini, sudah pasti, kita akan melihat dia ada di sebuah klub yang lebih besar dalam waktu dekat seperti Madrid."
16;2;"Pemain terbaik selalu bermain di Madrid dan Haaland adalah salah satunya. Dia adalah seorang pesepakbola yang dibuat untuk Madrid, tidak diragukan lagi, simpul Macek."
17;3;"Kans Premier League musim ini dilanjutkan cukup bagus. Tapi kemungkinan akan tanpa penonton, situasi yang berpotensi jalan hingga musim depan."
18;3;"Premier League saat ini tengah menggodok sejumlah ide terkait kelanjutan kompetisi, yang ditangguhkan akibat pandemi COVID-19. Salah satu rencana yang dinilai terbaik adalah menggelar sisa musim di tempat netral, dengan 10 stadion akan jadi lokasi pertandingan."
19;3;"Baca juga: Lampard: Premier League Bisa Saja Lanjut Lagi, tapi..."
20;3;"Namun indikasi kuatnya adalah, meskipun kompetisi dilanjutkan, pertandingan bakal digelar secara tertutup. Chairman FA Greg Clarke menyebut bahwa sulit untuk membiarkan suporter memadati stadion-stadion dalam waktu dekat."
21;3;"Bahkan Premier League bersiap untuk kemungkinan terburuknya: menggelar laga tertutup hingga musim 2020/2021. Sebab hingga kini satu-satunya cara efektif untuk mencegah penyebaran virus Corona adalah dengan membuat masyarakat menjaga jarak satu sama lain, mengingat belum ada vaksin ataupun obatnya."
22;3;Baca juga: Ada Usul Liga Inggris Lanjutkan Sisa Laga di Australia
23;3;"Realitanya adalah, kita benar-benar tidak tahu bagaimana segala sesuatunya akan berjalan. Tapi dengan aturan jaga jarak diberlakukan untuk beberapa saat mendatang, kita memang menghadapi perubahan-perubahan substansial di seluruh ekosistem sepakbola, ungkap Clarke dalam suratnya kepada Dewan Pemerintahan FA, seperti dikutip BBC."
24;3;"Misalnya, sulit untuk meramalkan kerumunan suporter, yang menjadi sumber kehidupan permainan ini, kembali ke pertandingan-pertandingan dalam waktu dekat, demikian pernyataannya."
25;3;Baca juga: MU Bersiap Kosongkan Old Trafford Hingga 2021
26;3;"Melanjutkan musim ini secara tertutup setidaknya akan menekan kerugian Premier League dan klub-klub. Mereka diperkirakan 'cuma' akan kehilangan 170 juta paun atau sekitar Rp 3,2 triliun, ketimbang rugi hingga 1,2 miliar paun atau sekitar Rp 22,6 triliun jika kompetisi dibatalkan."
27;4;Liga Spanyol 2019/20 ditargetkan kembali bergulir di bulan Juni. Barcelona memprediksi akan ada badai cedera yang menimpa mereka saat kompetisi dimulai lagi.
28;4;"Lionel Messi dkk terakhir kali bermain pada 7 Maret lalu saat menundukkan Real Sociedad 1-0 sebelum liga disetop sementara karena pandemi virus Corona. Itu artinya, sudah dua bulan Barca tak menjalani laga kompetitif."
29;4;"Tak cuma itu, intruksi pemerintah Spanyol agar warga di rumah saja membuat latihan para pemain selama masa karantina tak seintens biasanya. Level kebugaran tim asuhan Quique Setien dipastikan menurun."
30;4;"Oleh karena itu, dilaporkan AS, staf medis Barcelona meramalkan setidaknya akan ada 5-10 cedera yang menimpa skuad mereka di pekan pertama setelah La Liga kembali dipentaskan. Cedera-cedera itu diperkirakan tak jauh-jauh dari masalah hamstring maupun sendi."
31;4;Baca juga: Henry: Gampangan Main di Arsenal Ketimbang di Barcelona
32;4;"Ada beberapa faktor yang dipertimbangkan. Pertama, para pemain akan merasa 'kaget' dengan intensitas permainan yang tinggi, sedangkan kondisi mereka dipastikan belum 100 persen fit."
33;4;Apalagi jika latihan selama sebulan ke depan tak mencakup laga pramusim yang bisa membuat pemain membiasakan diri dengan suasana pertandingan.
34;4;"Selain itu, jadwal yang padat, di mana mereka harus menyelesaikan musim ini sesegera mungkin agar tak bentrok dengan jadwal musim depan juga akan membuat kaki-kaki pemain cepat lelah. Terlebih lagi kedalaman skuad utama Barca cukup tipis, yakni hanya sekitar 20 pemain."
35;4;"Faktor lainnya, musim ini akan berlanjut di pertengahan tahun, di mana suhu udara lebih tinggi dari biasanya. Hal ini juga menjadi tantangan tersendiri bagi pemain."
36;4;Baca juga: Presiden Venezuela Ngaku 'Direkrut' Barcelona untuk Jadi Striker
37;4;"Yang tak kalah penting, adalah riwayat cedera Barcelona musim ini. Tercatat hanya Frenkie De Jong dan Antoine Griezmann yang bebas cedera."
38;4;"Untuk mengurangi risiko badai cedera itu, Barcelona akan fokus terhadap kebugaran pemain di masa awal latihan. Peningkatan kekuatan pemain di gym akan diutamakan, sebelum kemudian berlatih di lapangan."
39;4;Barcelona saat ini tengah memimpin klasemen Liga Spanyol dengan koleksi 58 poin dari 27 laga yang sudah dimainkan.
